name,value,created_at,user_id
INSEE,b'\xcf+\xa0?\xdd6\x97!\xf4\xee\xceyJ\x81\xb2g\x06z\x8f\x16\xd0\x11\x94\xcc\x84\xbc\xc4\xa4\x97\x8a\xd7V',2022-03-14,2
DNI,b'\x19d%\xfa-_\x1b\xc1\x89\x9eq\xb1\x13p\x03\x8b\x9f6\x08\x00\xfb\xdf_\x08\xec-\x0f\xb9\x19}\x0f\xd7',2022-03-14,3
DNI,b'\x9d=\x98\xa6\xbb\x9f\xaa\x11\xd1\xc0 n\xe1G\x88o\x80\xe1\xe2xQC\xb7\xec3\xe10\x9f\x81\xa7Q\xca',2022-03-14,4
PPS,b'\xd9\x9c\xe0)J\xed_Q\x9eSj\x1az\xa5\xd0\xef \x82\x1c\xbb\x8c\x9a2\xfaR\xb6\t\xcb\x91\xae\rY',2022-03-14,5
SSN,"b""\x96x'\xdaf#\x13\x91b\xa6\x08e\xc0\xb7\x96?Y\xc9\x93\xcf\x993FK?\xfe\xde\xe35\xe7\x9a>""",2022-03-14,6
SSN,b'\x00\xbb\x815T\xee`\xc7\xfb\x1a(\xc7\xb1\xa1(\xb0B5\xb5\x99\xbdjL\xadSU\x0e@P\xb9\xc3l',2022-03-14,7
PPS,"b'\xe2\xbc\x87-\xdc\xbcq\x02\x1b\xcf\xfa\x95|C\x10""\xc1\xf8\xdd\x99^\xb3\x98\x1d\xed\xd3n\x16\xd8\xb2\x02\xc4'",2022-03-14,11
HETU,b'\x9f\xee\xd4\x13\x86\xe0\x81\xc8\xab[\xd8b\x83\xdd\x9b\x06\x05\x01\xb0N}w[\xd3\xffi\xd5\xf3\x872\xfc\xbb',2022-03-14,13
HETU,b'\x97\xdd\xe8\xe3\xa1$\xe7!\xf2r\x822B\xaf\x84\x11M\xed\xac\x89\x16\xe5\t\xae3K\xb0\xfai\r\xaf<',2022-03-14,14
PPS,b'z\xec7\xeaDe\xbe\x15\x08>^jH\xe5\x84\xb1\x82\xde\x98\x86f\xac\x1e\xe7$\xdegV\xa0\x14\x92\x15',2022-03-14,16
PPS,b'\xb7.tE}p~\xfb2GP\xf8Cc+\x8f\xf0I\xfd\xc4g-d\x1e\xb8\xd1\\\xef!V\xa4a',2022-03-14,18
