gender,email,phone,cell,nationality,title,first_name,last_name,dob_date,dob_age,register_date,register_age,thumbnail_large,thumbnail_medium,thumbnail,created_at,user_id,address_id
male,isael.rodrigues@example.com,(11) 0322-9772,(34) 9032-5917,BR,Mr,Isael,Rodrigues,1971-06-17T22:24:57.278Z,51,2002-11-13T16:45:40.803Z,20,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,2022-03-14,1,0
female,garance.rodriguez@example.com,04-29-41-85-11,06-43-52-49-13,FR,Mrs,Garance,Rodriguez,1954-05-16T11:46:10.802Z,68,2015-02-16T04:51:41.803Z,7,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,2022-03-14,2,1
female,inmaculada.gimenez@example.com,963-981-554,622-729-504,ES,Ms,Inmaculada,Gimenez,1986-02-01T01:28:47.735Z,36,2017-07-29T16:14:45.729Z,5,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,2022-03-14,3,2
male,martin.marin@example.com,984-355-224,652-111-849,ES,Mr,Martin,Marin,1985-10-10T17:37:19.317Z,37,2007-07-05T21:41:57.557Z,15,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,2022-03-14,4,3
male,phillip.austin@example.com,041-549-8536,081-510-9464,IE,Mr,Phillip,Austin,1955-09-16T08:35:19.643Z,67,2014-05-30T22:07:53.432Z,8,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,2022-03-14,5,4
male,tyler.payne@example.com,(607)-637-5491,(615)-088-5383,US,Mr,Tyler,Payne,1967-09-05T23:23:42.847Z,55,2013-06-01T14:25:35.133Z,9,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,2022-03-14,6,5
female,alma.harris@example.com,(381)-820-7598,(107)-681-6447,US,Mrs,Alma,Harris,1973-03-12T03:18:08.944Z,49,2002-04-14T07:23:14.173Z,20,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,2022-03-14,7,6
male,ivo.toth@example.com,0172-6128182,0173-8524093,DE,Mr,Ivo,Toth,1995-04-11T12:10:11.376Z,27,2019-08-08T23:54:02.016Z,3,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,2022-03-14,8,7
male,roman.lewis@example.com,(814)-374-0894,(539)-918-0135,NZ,Mr,Roman,Lewis,1977-09-04T09:28:17.687Z,45,2014-02-04T20:41:33.919Z,8,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,2022-03-14,9,8
female,mariele.kappler@example.com,0928-1154494,0173-9448873,DE,Miss,Mariele,Kappler,1988-03-18T17:48:07.270Z,34,2013-08-03T14:53:44.714Z,9,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,2022-03-14,10,9
